Attempt, ROUTER_01, ROUTER_02
1,-,2.72
2,-,8.03
3,-,1.03
4,-,10.15
5,-,14.74
6,-,8.71
7,-,8.54
8,-,-
9,-,8.94
10,-,4.49
11,-,2.69
12,-,15.4
13,-,5.93
14,-,10.94
15,-,2.71
16,-,2.53
17,-,20.87
18,-,3.55
19,-,0.86
20,-,0.41
21,-,10.0
22,-,20.22
23,-,1.26
24,-,6.85
25,-,8.43
26,-,9.14
27,-,8.28
28,-,0.29
29,-,1.51
30,-,7.52
31,-,11.76
